query_id,MAP@10,MAP@20,NDCG@10,NDCG@20
1,0.26666666666666666,0.26,0.11877507156827874,0.1631586595130611
2,0.273015873015873,0.27481203007518795,0.1688098333614163,0.19098013389908394
3,0.1,0.1658119658119658,0.02864500048383833,0.05441282664511624
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.5976190476190476,0.5838922374807541,0.29920805097501313,0.34973198214155166
7,0.30952380952380953,0.26884920634920634,0.18786525296928558,0.15835153934489515
8,0.2,0.17058029689608636,0.040981730698228504,0.07498994055835753
9,0.19444444444444442,0.23207070707070704,0.10364179549669235,0.12096816801273953
10,0.751388888888889,0.7019005246559427,0.5700008318627122,0.6111210567477161
11,0.3333333333333333,0.3333333333333333,0.06855731093441415,0.053645666375655314
12,0.5938492063492063,0.5577717689946792,0.5081691257009482,0.46687898002151795
13,0.14285714285714285,0.15079365079365079,0.06779095235709004,0.07775111141673637
14,0.6977777777777778,0.6532578532578531,0.32304284852061926,0.2530628519829384
15,0.125,0.11513157894736842,0.06343775459021642,0.05773211194601359
16,0.2,0.18937728937728937,0.040981730698228504,0.07847669633486451
17,0.5444444444444444,0.45999999999999996,0.28441487491014766,0.2597544805372044
18,0.7639455782312926,0.6944835865888497,0.40164738715436027,0.379939959716513
19,0.32767857142857143,0.32767857142857143,0.23609702385764542,0.15879103147892085
20,0.29166666666666663,0.25989653621232567,0.08438992611448405,0.10446667765070973
21,0.35,0.35,0.24760326473832595,0.1665297476560033
22,0.4444444444444444,0.4242424242424242,0.18123868659240355,0.15889496543520207
23,0.125,0.1534090909090909,0.03171887729510821,0.05833289837939482
24,1.0,0.5833333333333334,0.19031326377064928,0.14585051648560474
25,0.0,0.0,0.0,0.0
26,0.35,0.30476190476190473,0.24760326473832595,0.20014846585426302
27,0.5942857142857143,0.5741916855074749,0.4709808988355164,0.46982186145184696
28,0.9761904761904762,0.8783549783549783,0.6504552419070412,0.507236681357876
29,0.6111111111111112,0.4823373538011696,0.23958370830590647,0.2685132885425704
30,0.45555555555555555,0.5172732570459844,0.2506689680001314,0.28624645148514033
31,0.0,0.0,0.0,0.0
32,0.1,0.1,0.05729000096767666,0.05173981445171403
33,0.0,0.05263157894736842,0.0,0.01506598121087637
34,0.0,0.07142857142857142,0.0,0.03902265130777411
35,0.125,0.125,0.06343775459021642,0.04266613073513722
Avg,0.3384228215095562,0.31476015187445916,0.17792429805699775,0.1721223808193428
