alpha, beta, gamma, mAP@20, NDCG20 
1, 1, 0.5, 0.5837718680827407, 0.321006562593273
0.5, 0.5, 0.5, 0.5746140053056741, 0.32128216159280054
1, 0.5, 0, 0.562841489357973, 0.2845640286106983
