alpha, beta, gamma, mAP@20, NDCG20 
1, 1, 0.5, 0.10093196403750036, 0.01979556367585243
0.5, 0.5, 0.5, 0.10093196403750036, 0.01979556367585243
1, 0.5, 0, 0.09811305092446962, 0.01755869197045275
